key,index,random,target_pdf,pdf,social_ps,journal,publication_year,title,n_participants_after_exclusions,study_design_ignoring_trial_type_comparisons,n_groups_between,used_inferential_statistics,study,doi,author
37_7_7,37,7,7,7,NA,EJP,2011,What I do and what I think they would do: Social axioms and behaviour.,NA,NA,NA,NA,NA,NA,NA
37_7_7,37,7,7,7,NA,EJP,2011,What I do and what I think they would do: Social axioms and behaviour.,NA,NA,NA,NA,NA,NA,NA
37_7_7,37,7,7,7,NA,EJP,2011,What I do and what I think they would do: Social axioms and behaviour.,NA,NA,NA,NA,NA,NA,NA
37_7_7,37,7,7,7,NA,EJP,2011,What I do and what I think they would do: Social axioms and behaviour.,NA,NA,NA,NA,NA,NA,NA
6_8_8,6,8,8,8,NA,EJP,2011,From dating to mating and relating: Predictors of initial and long-term outcomes of speed-dating in a community sample.,382,m,NA,NA,NA,NA,NA
6_8_8,6,8,8,8,NA,EJP,2011,From dating to mating and relating: Predictors of initial and long-term outcomes of speed-dating in a community sample.,NA,NA,NA,NA,NA,NA,NA
6_8_8,6,8,8,8,NA,EJP,2011,From dating to mating and relating: Predictors of initial and long-term outcomes of speed-dating in a community sample.,NA,NA,NA,NA,NA,NA,NA
6_8_8,6,8,8,8,NA,EJP,2011,From dating to mating and relating: Predictors of initial and long-term outcomes of speed-dating in a community sample.,NA,NA,NA,NA,NA,NA,NA
6_8_8,6,8,8,8,NA,EJP,2011,From dating to mating and relating: Predictors of initial and long-term outcomes of speed-dating in a community sample.,NA,NA,NA,NA,NA,NA,NA
6_8_8,6,8,8,8,NA,EJP,2011,From dating to mating and relating: Predictors of initial and long-term outcomes of speed-dating in a community sample.,NA,NA,NA,NA,NA,NA,NA
6_8_8,6,8,8,8,NA,EJP,2011,From dating to mating and relating: Predictors of initial and long-term outcomes of speed-dating in a community sample.,NA,NA,NA,NA,NA,NA,NA
6_8_8,6,8,8,8,NA,EJP,2011,From dating to mating and relating: Predictors of initial and long-term outcomes of speed-dating in a community sample.,NA,NA,NA,NA,NA,NA,NA
6_8_8,6,8,8,8,NA,EJP,2011,From dating to mating and relating: Predictors of initial and long-term outcomes of speed-dating in a community sample.,NA,NA,NA,NA,NA,NA,NA
6_8_8,6,8,8,8,NA,EJP,2011,From dating to mating and relating: Predictors of initial and long-term outcomes of speed-dating in a community sample.,NA,NA,NA,NA,NA,NA,NA
39_9_9,39,9,9,9,NA,EJP,2011,Optimism facilitates the utilisation of prior cues.,102,b,NA,NA,NA,NA,NA
39_9_9,39,9,9,9,NA,EJP,2011,Optimism facilitates the utilisation of prior cues.,NA,NA,NA,NA,NA,NA,NA
39_9_9,39,9,9,9,NA,EJP,2011,Optimism facilitates the utilisation of prior cues.,NA,NA,NA,NA,NA,NA,NA
39_9_9,39,9,9,9,NA,EJP,2011,Optimism facilitates the utilisation of prior cues.,NA,NA,NA,NA,NA,NA,NA
39_9_9,39,9,9,9,NA,EJP,2011,Optimism facilitates the utilisation of prior cues.,NA,NA,NA,NA,NA,NA,NA
39_9_9,39,9,9,9,NA,EJP,2011,Optimism facilitates the utilisation of prior cues.,NA,NA,NA,NA,NA,NA,NA
39_9_9,39,9,9,9,NA,EJP,2011,Optimism facilitates the utilisation of prior cues.,NA,NA,NA,NA,NA,NA,NA
39_9_9,39,9,9,9,NA,EJP,2011,Optimism facilitates the utilisation of prior cues.,NA,NA,NA,NA,NA,NA,NA
39_9_9,39,9,9,9,NA,EJP,2011,Optimism facilitates the utilisation of prior cues.,NA,NA,NA,NA,NA,NA,NA
39_9_9,39,9,9,9,NA,EJP,2011,Optimism facilitates the utilisation of prior cues.,NA,NA,NA,NA,NA,NA,NA
30_1_1,30,1,1,1,NA,EJP,2012,The temporal reciprocity of values and beliefs: A longitudinal study within a major life transition.,172,b,NA,NA,NA,NA,NA
30_1_1,30,1,1,1,NA,EJP,2012,The temporal reciprocity of values and beliefs: A longitudinal study within a major life transition.,NA,NA,NA,NA,NA,NA,NA
30_1_1,30,1,1,1,NA,EJP,2012,The temporal reciprocity of values and beliefs: A longitudinal study within a major life transition.,NA,NA,NA,NA,NA,NA,NA
30_1_1,30,1,1,1,NA,EJP,2012,The temporal reciprocity of values and beliefs: A longitudinal study within a major life transition.,NA,NA,NA,NA,NA,NA,NA
30_1_1,30,1,1,1,NA,EJP,2012,The temporal reciprocity of values and beliefs: A longitudinal study within a major life transition.,NA,NA,NA,NA,NA,NA,NA
30_1_1,30,1,1,1,NA,EJP,2012,The temporal reciprocity of values and beliefs: A longitudinal study within a major life transition.,NA,NA,NA,NA,NA,NA,NA
30_1_1,30,1,1,1,NA,EJP,2012,The temporal reciprocity of values and beliefs: A longitudinal study within a major life transition.,NA,NA,NA,NA,NA,NA,NA
30_1_1,30,1,1,1,NA,EJP,2012,The temporal reciprocity of values and beliefs: A longitudinal study within a major life transition.,NA,NA,NA,NA,NA,NA,NA
30_1_1,30,1,1,1,NA,EJP,2012,The temporal reciprocity of values and beliefs: A longitudinal study within a major life transition.,NA,NA,NA,NA,NA,NA,NA
30_1_1,30,1,1,1,NA,EJP,2012,The temporal reciprocity of values and beliefs: A longitudinal study within a major life transition.,NA,NA,NA,NA,NA,NA,NA
7_2_2,7,2,2,2,NA,EJP,2012,The <ef>Short Five<cd> (S5): Measuring personality traits using comprehensive single items.,439,b,NA,NA,NA,NA,NA
7_2_2,7,2,2,2,NA,EJP,2012,The <ef>Short Five<cd> (S5): Measuring personality traits using comprehensive single items.,705,b,NA,NA,NA,NA,NA
7_2_2,7,2,2,2,NA,EJP,2012,The <ef>Short Five<cd> (S5): Measuring personality traits using comprehensive single items.,98,b,NA,NA,NA,NA,NA
7_2_2,7,2,2,2,NA,EJP,2012,The <ef>Short Five<cd> (S5): Measuring personality traits using comprehensive single items.,216,b,NA,NA,NA,NA,NA
7_2_2,7,2,2,2,NA,EJP,2012,The <ef>Short Five<cd> (S5): Measuring personality traits using comprehensive single items.,NA,NA,NA,NA,NA,NA,NA
7_2_2,7,2,2,2,NA,EJP,2012,The <ef>Short Five<cd> (S5): Measuring personality traits using comprehensive single items.,NA,NA,NA,NA,NA,NA,NA
7_2_2,7,2,2,2,NA,EJP,2012,The <ef>Short Five<cd> (S5): Measuring personality traits using comprehensive single items.,NA,NA,NA,NA,NA,NA,NA
7_2_2,7,2,2,2,NA,EJP,2012,The <ef>Short Five<cd> (S5): Measuring personality traits using comprehensive single items.,NA,NA,NA,NA,NA,NA,NA
7_2_2,7,2,2,2,NA,EJP,2012,The <ef>Short Five<cd> (S5): Measuring personality traits using comprehensive single items.,NA,NA,NA,NA,NA,NA,NA
7_2_2,7,2,2,2,NA,EJP,2012,The <ef>Short Five<cd> (S5): Measuring personality traits using comprehensive single items.,NA,NA,NA,NA,NA,NA,NA
8_3_3,8,3,3,3,NA,EJP,2012,The content of internal conflicts: A personal values perspective.,250,b,NA,NA,NA,NA,NA
8_3_3,8,3,3,3,NA,EJP,2012,The content of internal conflicts: A personal values perspective.,230,b,NA,NA,NA,NA,NA
8_3_3,8,3,3,3,NA,EJP,2012,The content of internal conflicts: A personal values perspective.,NA,NA,NA,NA,NA,NA,NA
8_3_3,8,3,3,3,NA,EJP,2012,The content of internal conflicts: A personal values perspective.,NA,NA,NA,NA,NA,NA,NA
8_3_3,8,3,3,3,NA,EJP,2012,The content of internal conflicts: A personal values perspective.,NA,NA,NA,NA,NA,NA,NA
8_3_3,8,3,3,3,NA,EJP,2012,The content of internal conflicts: A personal values perspective.,NA,NA,NA,NA,NA,NA,NA
8_3_3,8,3,3,3,NA,EJP,2012,The content of internal conflicts: A personal values perspective.,NA,NA,NA,NA,NA,NA,NA
8_3_3,8,3,3,3,NA,EJP,2012,The content of internal conflicts: A personal values perspective.,NA,NA,NA,NA,NA,NA,NA
8_3_3,8,3,3,3,NA,EJP,2012,The content of internal conflicts: A personal values perspective.,NA,NA,NA,NA,NA,NA,NA
8_3_3,8,3,3,3,NA,EJP,2012,The content of internal conflicts: A personal values perspective.,NA,NA,NA,NA,NA,NA,NA
23_4_4,23,4,4,4,NA,EJP,2012,Perfectionism dimensions and the five?factor model of personality.,580,b,NA,NA,NA,NA,NA
23_4_4,23,4,4,4,NA,EJP,2012,Perfectionism dimensions and the five?factor model of personality.,NA,NA,NA,NA,NA,NA,NA
23_4_4,23,4,4,4,NA,EJP,2012,Perfectionism dimensions and the five?factor model of personality.,NA,NA,NA,NA,NA,NA,NA
23_4_4,23,4,4,4,NA,EJP,2012,Perfectionism dimensions and the five?factor model of personality.,NA,NA,NA,NA,NA,NA,NA
23_4_4,23,4,4,4,NA,EJP,2012,Perfectionism dimensions and the five?factor model of personality.,NA,NA,NA,NA,NA,NA,NA
23_4_4,23,4,4,4,NA,EJP,2012,Perfectionism dimensions and the five?factor model of personality.,NA,NA,NA,NA,NA,NA,NA
23_4_4,23,4,4,4,NA,EJP,2012,Perfectionism dimensions and the five?factor model of personality.,NA,NA,NA,NA,NA,NA,NA
23_4_4,23,4,4,4,NA,EJP,2012,Perfectionism dimensions and the five?factor model of personality.,NA,NA,NA,NA,NA,NA,NA
23_4_4,23,4,4,4,NA,EJP,2012,Perfectionism dimensions and the five?factor model of personality.,NA,NA,NA,NA,NA,NA,NA
23_4_4,23,4,4,4,NA,EJP,2012,Perfectionism dimensions and the five?factor model of personality.,NA,NA,NA,NA,NA,NA,NA
27_5_5,27,5,5,5,NA,EJP,2012,Comparability of self?reported conscientiousness across 21 countries.,2965,m,NA,NA,NA,NA,NA
27_5_5,27,5,5,5,NA,EJP,2012,Comparability of self?reported conscientiousness across 21 countries.,NA,NA,NA,NA,NA,NA,NA
27_5_5,27,5,5,5,NA,EJP,2012,Comparability of self?reported conscientiousness across 21 countries.,NA,NA,NA,NA,NA,NA,NA
27_5_5,27,5,5,5,NA,EJP,2012,Comparability of self?reported conscientiousness across 21 countries.,NA,NA,NA,NA,NA,NA,NA
27_5_5,27,5,5,5,NA,EJP,2012,Comparability of self?reported conscientiousness across 21 countries.,NA,NA,NA,NA,NA,NA,NA
27_5_5,27,5,5,5,NA,EJP,2012,Comparability of self?reported conscientiousness across 21 countries.,NA,NA,NA,NA,NA,NA,NA
27_5_5,27,5,5,5,NA,EJP,2012,Comparability of self?reported conscientiousness across 21 countries.,NA,NA,NA,NA,NA,NA,NA
27_5_5,27,5,5,5,NA,EJP,2012,Comparability of self?reported conscientiousness across 21 countries.,NA,NA,NA,NA,NA,NA,NA
27_5_5,27,5,5,5,NA,EJP,2012,Comparability of self?reported conscientiousness across 21 countries.,NA,NA,NA,NA,NA,NA,NA
27_5_5,27,5,5,5,NA,EJP,2012,Comparability of self?reported conscientiousness across 21 countries.,NA,NA,NA,NA,NA,NA,NA
28_6_6,28,6,6,6,NA,EJP,2012,Resisting everything except temptation: Evidence and an explanation for domain?specific impulsivity.,293,m,NA,NA,NA,NA,NA
28_6_6,28,6,6,6,NA,EJP,2012,Resisting everything except temptation: Evidence and an explanation for domain?specific impulsivity.,1486,m,NA,NA,NA,NA,NA
28_6_6,28,6,6,6,NA,EJP,2012,Resisting everything except temptation: Evidence and an explanation for domain?specific impulsivity.,353,m,NA,NA,NA,NA,NA
28_6_6,28,6,6,6,NA,EJP,2012,Resisting everything except temptation: Evidence and an explanation for domain?specific impulsivity.,419,m,NA,NA,NA,NA,NA
28_6_6,28,6,6,6,NA,EJP,2012,Resisting everything except temptation: Evidence and an explanation for domain?specific impulsivity.,NA,NA,NA,NA,NA,NA,NA
28_6_6,28,6,6,6,NA,EJP,2012,Resisting everything except temptation: Evidence and an explanation for domain?specific impulsivity.,NA,NA,NA,NA,NA,NA,NA
28_6_6,28,6,6,6,NA,EJP,2012,Resisting everything except temptation: Evidence and an explanation for domain?specific impulsivity.,NA,NA,NA,NA,NA,NA,NA
28_6_6,28,6,6,6,NA,EJP,2012,Resisting everything except temptation: Evidence and an explanation for domain?specific impulsivity.,NA,NA,NA,NA,NA,NA,NA
28_6_6,28,6,6,6,NA,EJP,2012,Resisting everything except temptation: Evidence and an explanation for domain?specific impulsivity.,NA,NA,NA,NA,NA,NA,NA
28_6_6,28,6,6,6,NA,EJP,2012,Resisting everything except temptation: Evidence and an explanation for domain?specific impulsivity.,NA,NA,NA,NA,NA,NA,NA
25_7_7,25,7,7,7,NA,EJP,2012,Stressful events and temperament change during early and middle adolescence: The TRAILS study.,1197,b,NA,NA,NA,NA,NA
25_7_7,25,7,7,7,NA,EJP,2012,Stressful events and temperament change during early and middle adolescence: The TRAILS study.,NA,NA,NA,NA,NA,NA,NA
25_7_7,25,7,7,7,NA,EJP,2012,Stressful events and temperament change during early and middle adolescence: The TRAILS study.,NA,NA,NA,NA,NA,NA,NA
25_7_7,25,7,7,7,NA,EJP,2012,Stressful events and temperament change during early and middle adolescence: The TRAILS study.,NA,NA,NA,NA,NA,NA,NA
25_7_7,25,7,7,7,NA,EJP,2012,Stressful events and temperament change during early and middle adolescence: The TRAILS study.,NA,NA,NA,NA,NA,NA,NA
25_7_7,25,7,7,7,NA,EJP,2012,Stressful events and temperament change during early and middle adolescence: The TRAILS study.,NA,NA,NA,NA,NA,NA,NA
25_7_7,25,7,7,7,NA,EJP,2012,Stressful events and temperament change during early and middle adolescence: The TRAILS study.,NA,NA,NA,NA,NA,NA,NA
25_7_7,25,7,7,7,NA,EJP,2012,Stressful events and temperament change during early and middle adolescence: The TRAILS study.,NA,NA,NA,NA,NA,NA,NA
25_7_7,25,7,7,7,NA,EJP,2012,Stressful events and temperament change during early and middle adolescence: The TRAILS study.,NA,NA,NA,NA,NA,NA,NA
25_7_7,25,7,7,7,NA,EJP,2012,Stressful events and temperament change during early and middle adolescence: The TRAILS study.,NA,NA,NA,NA,NA,NA,NA
58_8_8,58,8,8,8,NA,EJP,2012,Machiavellianism and spontaneous mentalization: One step ahead of others.,112,b,NA,NA,NA,NA,NA
58_8_8,58,8,8,8,NA,EJP,2012,Machiavellianism and spontaneous mentalization: One step ahead of others.,NA,NA,NA,NA,NA,NA,NA
58_8_8,58,8,8,8,NA,EJP,2012,Machiavellianism and spontaneous mentalization: One step ahead of others.,NA,NA,NA,NA,NA,NA,NA
58_8_8,58,8,8,8,NA,EJP,2012,Machiavellianism and spontaneous mentalization: One step ahead of others.,NA,NA,NA,NA,NA,NA,NA
58_8_8,58,8,8,8,NA,EJP,2012,Machiavellianism and spontaneous mentalization: One step ahead of others.,NA,NA,NA,NA,NA,NA,NA
58_8_8,58,8,8,8,NA,EJP,2012,Machiavellianism and spontaneous mentalization: One step ahead of others.,NA,NA,NA,NA,NA,NA,NA
58_8_8,58,8,8,8,NA,EJP,2012,Machiavellianism and spontaneous mentalization: One step ahead of others.,NA,NA,NA,NA,NA,NA,NA
58_8_8,58,8,8,8,NA,EJP,2012,Machiavellianism and spontaneous mentalization: One step ahead of others.,NA,NA,NA,NA,NA,NA,NA
58_8_8,58,8,8,8,NA,EJP,2012,Machiavellianism and spontaneous mentalization: One step ahead of others.,NA,NA,NA,NA,NA,NA,NA
58_8_8,58,8,8,8,NA,EJP,2012,Machiavellianism and spontaneous mentalization: One step ahead of others.,NA,NA,NA,NA,NA,NA,NA
22_9_NA,22,9,NA,NA,NA,EJP,2012,Conflict resolution as a dyadic mediator: Considering the partner perspective on conflict resolution.,NA,NA,NA,NA,NA,NA,NA
22_9_NA,22,9,NA,NA,NA,EJP,2012,Conflict resolution as a dyadic mediator: Considering the partner perspective on conflict resolution.,NA,NA,NA,NA,NA,NA,NA
22_9_NA,22,9,NA,NA,NA,EJP,2012,Conflict resolution as a dyadic mediator: Considering the partner perspective on conflict resolution.,NA,NA,NA,NA,NA,NA,NA
22_9_NA,22,9,NA,NA,NA,EJP,2012,Conflict resolution as a dyadic mediator: Considering the partner perspective on conflict resolution.,NA,NA,NA,NA,NA,NA,NA
22_9_NA,22,9,NA,NA,NA,EJP,2012,Conflict resolution as a dyadic mediator: Considering the partner perspective on conflict resolution.,NA,NA,NA,NA,NA,NA,NA
22_9_NA,22,9,NA,NA,NA,EJP,2012,Conflict resolution as a dyadic mediator: Considering the partner perspective on conflict resolution.,NA,NA,NA,NA,NA,NA,NA
22_9_NA,22,9,NA,NA,NA,EJP,2012,Conflict resolution as a dyadic mediator: Considering the partner perspective on conflict resolution.,NA,NA,NA,NA,NA,NA,NA
22_9_NA,22,9,NA,NA,NA,EJP,2012,Conflict resolution as a dyadic mediator: Considering the partner perspective on conflict resolution.,NA,NA,NA,NA,NA,NA,NA
22_9_NA,22,9,NA,NA,NA,EJP,2012,Conflict resolution as a dyadic mediator: Considering the partner perspective on conflict resolution.,NA,NA,NA,NA,NA,NA,NA
22_9_NA,22,9,NA,NA,NA,EJP,2012,Conflict resolution as a dyadic mediator: Considering the partner perspective on conflict resolution.,NA,NA,NA,NA,NA,NA,NA
2_10_9,2,10,9,9,NA,EJP,2012,Longitudinal associations of cognitive abilityCOMMA  personality traits and school grades with antisocial behaviour.,1919,b,NA,NA,NA,NA,NA
2_10_9,2,10,9,9,NA,EJP,2012,Longitudinal associations of cognitive abilityCOMMA  personality traits and school grades with antisocial behaviour.,NA,NA,NA,NA,NA,NA,NA
2_10_9,2,10,9,9,NA,EJP,2012,Longitudinal associations of cognitive abilityCOMMA  personality traits and school grades with antisocial behaviour.,NA,NA,NA,NA,NA,NA,NA
2_10_9,2,10,9,9,NA,EJP,2012,Longitudinal associations of cognitive abilityCOMMA  personality traits and school grades with antisocial behaviour.,NA,NA,NA,NA,NA,NA,NA
2_10_9,2,10,9,9,NA,EJP,2012,Longitudinal associations of cognitive abilityCOMMA  personality traits and school grades with antisocial behaviour.,NA,NA,NA,NA,NA,NA,NA
2_10_9,2,10,9,9,NA,EJP,2012,Longitudinal associations of cognitive abilityCOMMA  personality traits and school grades with antisocial behaviour.,NA,NA,NA,NA,NA,NA,NA
2_10_9,2,10,9,9,NA,EJP,2012,Longitudinal associations of cognitive abilityCOMMA  personality traits and school grades with antisocial behaviour.,NA,NA,NA,NA,NA,NA,NA
2_10_9,2,10,9,9,NA,EJP,2012,Longitudinal associations of cognitive abilityCOMMA  personality traits and school grades with antisocial behaviour.,NA,NA,NA,NA,NA,NA,NA
